City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
334,Hobyo,SO,77.25,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
336,Zhanaozen,KZ,84.52,broken clouds,43.3,52.8,K.korabay 28A
338,Oistins,BB,82.49,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
339,Camp Verde,US,82.18,overcast clouds,34.5636,-111.8543,Days Inn by Wyndham Camp Verde Arizona
341,Maumere,ID,81.05,broken clouds,-8.6199,122.2111,Sylvia Hotel
345,College,US,70.0,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
346,Salinas,US,83.01,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
349,Bektemir,UZ,78.85,clear sky,41.2097,69.3342,Grace Garden
350,Karratha,AU,71.4,broken clouds,-20.7377,116.8463,ibis Styles Karratha
351,Road Town,VG,82.44,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
355,Oussouye,SN,77.18,overcast clouds,12.485,-16.5469,Auberge du Routard
358,Yarada,IN,82.72,broken clouds,17.65,83.2667,Yarada Jungle Beach Resorts
359,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
361,Weligama,LK,77.92,overcast clouds,5.9667,80.4167,Weligama Bay Resort
363,Shingu,JP,77.2,light rain,33.7333,135.9833,Shingu UI Hotel
365,Vinh,VN,83.35,overcast clouds,18.6667,105.6667,Vuong Hoan 2
367,Sao Joao Dos Patos,BR,71.4,few clouds,-6.495,-43.7022,Montesino Hotel & Restaurante
369,Saravena,CO,74.41,scattered clouds,6.9538,-71.8752,Hotel Diamante Saravena
370,Chabahar,IR,84.72,overcast clouds,25.2919,60.643,هتل گدروشیا
372,Muisne,EC,73.62,overcast clouds,0.6,-80.0333,Quinta Samay
375,Kashi,CN,67.21,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
376,Beaverlodge,CA,70.95,overcast clouds,55.2166,-119.4361,Side Trax Inn
377,Sabha,LY,75.22,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
378,Itarema,BR,78.64,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
381,Tagusao,PH,83.82,overcast clouds,9.1924,117.8141,Caycay future beach resort
384,Dongsheng,CN,76.68,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
385,Isangel,VU,76.46,broken clouds,-19.55,169.2667,Tanna Lodge
388,Pacific Grove,US,75.24,few clouds,36.6177,-121.9166,Lovers Point Inn
391,Aktau,KZ,77.58,clear sky,43.65,51.2,Silk Way Hotel
392,Zhangye,CN,65.19,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
394,Cockburn Town,TC,81.72,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
397,Maningrida,AU,77.81,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
398,Ponta Delgada,PT,71.51,few clouds,37.7333,-25.6667,Vila Nova Hotel
399,Lashio,MM,78.49,scattered clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
400,Sovetskiy,RU,72.12,broken clouds,61.3614,63.5842,Apartment on Kievskaya 29
402,Zaria,NG,70.14,broken clouds,11.1113,7.7227,A.B.U Hotels
405,Manoel Urbano,BR,75.56,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
407,Elat,IL,80.44,clear sky,29.5581,34.9482,Club Hotel Eilat
